Extension ID,Loan Number,Extension Number,Date Extension Requested,Extension (Days),Extension Cost (%),Extension Cost ($),Extension Requestor,Approved By (ID),Extension Reason,Expiration Before Extension,Expiration After Extension,Total Extension Days,Total Extension Cost ($),Extension Count,Extension Bucket
90001,70000004,1,2023-05-02,15,0.0025,1910.11,Processor,126,Title Issues,2023-05-04,2023-05-19,20,2865.17,2,1–2 Extensions
90002,70000004,2,2023-05-15,5,0.00125,955.06,Loan Officer,125,Appraisal Delay,2023-05-19,2023-05-24,20,2865.17,2,1–2 Extensions
90003,70000007,1,2023-04-22,15,0.0025,1189.77,Broker,128,Title Issues,2023-04-27,2023-05-12,30,2379.54,2,1–2 Extensions
90004,70000007,2,2023-05-10,15,0.0025,1189.77,Broker,138,Title Issues,2023-05-12,2023-05-27,30,2379.54,2,1–2 Extensions
90005,70000009,1,2023-05-10,15,0.0025,1043.73,Loan Officer,128,Appraisal Delay,2023-05-15,2023-05-30,30,2087.46,2,1–2 Extensions
90006,70000009,2,2023-05-25,15,0.0025,1043.73,Loan Officer,126,Rate Shopping,2023-05-30,2023-06-14,30,2087.46,2,1–2 Extensions
90007,70000011,1,2023-02-28,5,0.00125,563.63,Processor,138,Appraisal Delay,2023-03-02,2023-03-07,10,1127.26,2,1–2 Extensions
90008,70000011,2,2023-03-06,5,0.00125,563.63,Loan Officer,138,Title Issues,2023-03-07,2023-03-12,10,1127.26,2,1–2 Extensions
90009,70000015,1,2023-04-24,5,0.00125,835.07,Processor,125,Rate Shopping,2023-04-26,2023-05-01,5,835.07,1,1–2 Extensions
90010,70000016,1,2023-04-15,5,0.00125,542.39,Broker,133,Title Issues,2023-04-17,2023-04-22,5,542.39,1,1–2 Extensions
90011,70000022,1,2023-03-26,15,0.0025,1926.5,Processor,127,Borrower Delay,2023-03-29,2023-04-13,15,1926.5,1,1–2 Extensions
90012,70000024,1,2023-03-24,15,0.0025,862.16,Loan Officer,137,Borrower Delay,2023-03-28,2023-04-12,30,1724.32,2,1–2 Extensions
90013,70000024,2,2023-04-10,15,0.0025,862.16,Processor,132,Appraisal Delay,2023-04-12,2023-04-27,30,1724.32,2,1–2 Extensions
90014,70000027,1,2023-02-04,5,0.00125,790.98,Processor,134,Borrower Delay,2023-02-06,2023-02-11,5,790.98,1,1–2 Extensions
90015,70000028,1,2023-02-06,5,0.00125,943.5,Processor,130,Underwriting Conditions,2023-02-07,2023-02-12,10,1887.0,2,1–2 Extensions
90016,70000028,2,2023-02-11,5,0.00125,943.5,Broker,138,Borrower Delay,2023-02-12,2023-02-17,10,1887.0,2,1–2 Extensions
90017,70000030,1,2023-05-13,15,0.0025,557.43,Broker,127,Appraisal Delay,2023-05-18,2023-06-02,20,836.1399999999999,2,1–2 Extensions
90018,70000030,2,2023-05-29,5,0.00125,278.71,Loan Officer,129,Rate Shopping,2023-06-02,2023-06-07,20,836.1399999999999,2,1–2 Extensions
90019,70000035,1,2023-03-29,15,0.0025,1260.07,Processor,132,Appraisal Delay,2023-03-30,2023-04-14,20,1890.1,2,1–2 Extensions
90020,70000035,2,2023-04-10,5,0.00125,630.03,Processor,137,Appraisal Delay,2023-04-14,2023-04-19,20,1890.1,2,1–2 Extensions
90021,70000036,1,2023-04-01,15,0.0025,1153.76,Loan Officer,137,Underwriting Conditions,2023-04-06,2023-04-21,15,1153.76,1,1–2 Extensions
90022,70000042,1,2023-03-25,5,0.00125,709.42,Loan Officer,130,Borrower Delay,2023-03-28,2023-04-02,20,2128.27,2,1–2 Extensions
90023,70000042,2,2023-03-28,15,0.0025,1418.85,Loan Officer,125,Borrower Delay,2023-04-02,2023-04-17,20,2128.27,2,1–2 Extensions
90024,70000043,1,2023-03-20,5,0.00125,517.35,Processor,131,Underwriting Conditions,2023-03-22,2023-03-27,5,517.35,1,1–2 Extensions
90025,70000052,1,2023-04-09,5,0.00125,506.09,Processor,136,Rate Shopping,2023-04-12,2023-04-17,5,506.09,1,1–2 Extensions
90026,70000058,1,2023-04-16,15,0.0025,1564.34,Loan Officer,133,Underwriting Conditions,2023-04-18,2023-05-03,15,1564.34,1,1–2 Extensions
90027,70000061,1,2023-02-15,5,0.00125,615.81,Processor,137,Rate Shopping,2023-02-18,2023-02-23,20,1847.4299999999998,2,1–2 Extensions
