extension_id,loan_number,extension_sequence,extension_request_date,extension_days,extension_fee_percent,extension_fee_amount,requested_by_role,approved_by_employee_id,reason_code,lock_expiration_date_before,lock_expiration_date_after
90001,70000004,1,2023-05-02,15,0.0025,1910.11,Processor,126,Title Issues,2023-05-04,2023-05-19
90002,70000004,2,2023-05-15,5,0.00125,955.06,Loan Officer,125,Appraisal Delay,2023-05-19,2023-05-24
90003,70000007,1,2023-04-22,15,0.0025,1189.77,Broker,128,Title Issues,2023-04-27,2023-05-12
90004,70000007,2,2023-05-10,15,0.0025,1189.77,Broker,138,Title Issues,2023-05-12,2023-05-27
90005,70000009,1,2023-05-10,15,0.0025,1043.73,Loan Officer,128,Appraisal Delay,2023-05-15,2023-05-30
90006,70000009,2,2023-05-25,15,0.0025,1043.73,Loan Officer,126,Rate Shopping,2023-05-30,2023-06-14
90007,70000011,1,2023-02-28,5,0.00125,563.63,Processor,138,Appraisal Delay,2023-03-02,2023-03-07
90008,70000011,2,2023-03-06,5,0.00125,563.63,Loan Officer,138,Title Issues,2023-03-07,2023-03-12
90009,70000015,1,2023-04-24,5,0.00125,835.07,Processor,125,Rate Shopping,2023-04-26,2023-05-01
90010,70000016,1,2023-04-15,5,0.00125,542.39,Broker,133,Title Issues,2023-04-17,2023-04-22
90011,70000022,1,2023-03-26,15,0.0025,1926.5,Processor,127,Borrower Delay,2023-03-29,2023-04-13
90012,70000024,1,2023-03-24,15,0.0025,862.16,Loan Officer,137,Borrower Delay,2023-03-28,2023-04-12
90013,70000024,2,2023-04-10,15,0.0025,862.16,Processor,132,Appraisal Delay,2023-04-12,2023-04-27
90014,70000027,1,2023-02-04,5,0.00125,790.98,Processor,134,Borrower Delay,2023-02-06,2023-02-11
90015,70000028,1,2023-02-06,5,0.00125,943.5,Processor,130,Underwriting Conditions,2023-02-07,2023-02-12
90016,70000028,2,2023-02-11,5,0.00125,943.5,Broker,138,Borrower Delay,2023-02-12,2023-02-17
90017,70000030,1,2023-05-13,15,0.0025,557.43,Broker,127,Appraisal Delay,2023-05-18,2023-06-02
90018,70000030,2,2023-05-29,5,0.00125,278.71,Loan Officer,129,Rate Shopping,2023-06-02,2023-06-07
90019,70000035,1,2023-03-29,15,0.0025,1260.07,Processor,132,Appraisal Delay,2023-03-30,2023-04-14
90020,70000035,2,2023-04-10,5,0.00125,630.03,Processor,137,Appraisal Delay,2023-04-14,2023-04-19
90021,70000036,1,2023-04-01,15,0.0025,1153.76,Loan Officer,137,Underwriting Conditions,2023-04-06,2023-04-21
90022,70000042,1,2023-03-25,5,0.00125,709.42,Loan Officer,130,Borrower Delay,2023-03-28,2023-04-02
90023,70000042,2,2023-03-28,15,0.0025,1418.85,Loan Officer,125,Borrower Delay,2023-04-02,2023-04-17
90024,70000043,1,2023-03-20,5,0.00125,517.35,Processor,131,Underwriting Conditions,2023-03-22,2023-03-27
90025,70000052,1,2023-04-09,5,0.00125,506.09,Processor,136,Rate Shopping,2023-04-12,2023-04-17
90026,70000058,1,2023-04-16,15,0.0025,1564.34,Loan Officer,133,Underwriting Conditions,2023-04-18,2023-05-03
90027,70000061,1,2023-02-15,5,0.00125,615.81,Processor,137,Rate Shopping,2023-02-18,2023-02-23
90028,70000061,2,2023-02-18,15,0.0025,1231.62,Loan Officer,138,Underwriting Conditions,2023-02-23,2023-03-10
90029,70000067,1,2023-04-30,15,0.0025,721.11,Broker,126,Borrower Delay,2023-05-04,2023-05-19
90030,70000072,1,2023-02-14,15,0.0025,1129.78,Processor,128,Title Issues,2023-02-16,2023-03-03
90031,70000073,1,2023-03-08,5,0.00125,856.82,Loan Officer,130,Title Issues,2023-03-13,2023-03-18
90032,70000076,1,2023-02-14,15,0.0025,844.18,Broker,125,Appraisal Delay,2023-02-16,2023-03-03
90033,70000078,1,2023-05-04,5,0.00125,727.1,Loan Officer,137,Appraisal Delay,2023-05-07,2023-05-12
90034,70000085,1,2023-04-10,5,0.00125,647.31,Processor,132,Appraisal Delay,2023-04-14,2023-04-19
90035,70000087,1,2023-03-27,15,0.0025,978.59,Processor,138,Appraisal Delay,2023-03-31,2023-04-15
90036,70000087,2,2023-04-10,15,0.0025,978.59,Processor,130,Title Issues,2023-04-15,2023-04-30
90037,70000088,1,2023-02-16,15,0.0025,1007.05,Broker,126,Rate Shopping,2023-02-17,2023-03-04
90038,70000088,2,2023-03-02,5,0.00125,503.53,Processor,125,Borrower Delay,2023-03-04,2023-03-09
90039,70000088,3,2023-03-07,15,0.0025,1007.05,Loan Officer,139,Title Issues,2023-03-09,2023-03-24
90040,70000088,4,2023-03-20,15,0.0025,1007.05,Broker,131,Rate Shopping,2023-03-24,2023-04-08
90041,70000089,1,2023-05-10,5,0.00125,585.13,Broker,134,Rate Shopping,2023-05-13,2023-05-18
90042,70000089,2,2023-05-16,15,0.0025,1170.27,Processor,135,Appraisal Delay,2023-05-18,2023-06-02
90043,70000089,3,2023-05-29,15,0.0025,1170.27,Broker,137,Appraisal Delay,2023-06-02,2023-06-17
90044,70000092,1,2023-02-04,5,0.00125,778.49,Broker,131,Appraisal Delay,2023-02-07,2023-02-12
90045,70000092,2,2023-02-08,5,0.00125,778.49,Broker,128,Borrower Delay,2023-02-12,2023-02-17
90046,70000092,3,2023-02-16,15,0.0025,1556.98,Loan Officer,131,Borrower Delay,2023-02-17,2023-03-04
90047,70000092,4,2023-02-28,15,0.0025,1556.98,Broker,137,Appraisal Delay,2023-03-04,2023-03-19
90048,70000095,1,2023-05-13,5,0.00125,639.57,Processor,127,Title Issues,2023-05-16,2023-05-21
90049,70000095,2,2023-05-20,5,0.00125,639.57,Loan Officer,127,Rate Shopping,2023-05-21,2023-05-26
90050,70000095,3,2023-05-24,15,0.0025,1279.14,Loan Officer,139,Borrower Delay,2023-05-26,2023-06-10
90051,70000096,1,2023-03-22,15,0.0025,1663.21,Processor,130,Rate Shopping,2023-03-23,2023-04-07
90052,70000096,2,2023-04-04,15,0.0025,1663.21,Loan Officer,127,Appraisal Delay,2023-04-07,2023-04-22
90053,70000100,1,2023-02-14,15,0.0025,1053.55,Processor,135,Appraisal Delay,2023-02-15,2023-03-02
90054,70000100,2,2023-02-26,5,0.00125,526.77,Processor,129,Rate Shopping,2023-03-02,2023-03-07
90055,70000105,1,2023-04-13,15,0.0025,810.53,Processor,133,Appraisal Delay,2023-04-14,2023-04-29
90056,70000105,2,2023-04-25,5,0.00125,405.27,Broker,126,Underwriting Conditions,2023-04-29,2023-05-04
90057,70000113,1,2023-04-06,15,0.0025,809.55,Processor,126,Borrower Delay,2023-04-08,2023-04-23
90058,70000118,1,2023-03-26,15,0.0025,810.49,Loan Officer,133,Title Issues,2023-03-31,2023-04-15
90059,70000118,2,2023-04-10,5,0.00125,405.25,Loan Officer,139,Borrower Delay,2023-04-15,2023-04-20
90060,70000126,1,2023-02-26,5,0.00125,718.89,Processor,139,Rate Shopping,2023-02-28,2023-03-05
90061,70000126,2,2023-03-03,5,0.00125,718.89,Loan Officer,128,Rate Shopping,2023-03-05,2023-03-10
90062,70000127,1,2023-04-20,5,0.00125,586.2,Broker,137,Title Issues,2023-04-21,2023-04-26
90063,70000127,2,2023-04-24,5,0.00125,586.2,Processor,139,Appraisal Delay,2023-04-26,2023-05-01
90064,70000134,1,2023-02-19,15,0.0025,758.39,Processor,137,Title Issues,2023-02-20,2023-03-07
90065,70000134,2,2023-03-02,15,0.0025,758.39,Processor,138,Title Issues,2023-03-07,2023-03-22
90066,70000146,1,2023-04-16,5,0.00125,439.59,Broker,139,Title Issues,2023-04-20,2023-04-25
90067,70000147,1,2023-04-14,15,0.0025,1885.33,Processor,126,Rate Shopping,2023-04-19,2023-05-04
90068,70000161,1,2023-04-13,5,0.00125,423.75,Loan Officer,126,Title Issues,2023-04-16,2023-04-21
90069,70000162,1,2023-02-27,5,0.00125,514.67,Broker,136,Title Issues,2023-03-04,2023-03-09
90070,70000163,1,2023-02-13,15,0.0025,1870.33,Processor,127,Borrower Delay,2023-02-14,2023-03-01
90071,70000163,2,2023-02-27,15,0.0025,1870.33,Loan Officer,136,Borrower Delay,2023-03-01,2023-03-16
90072,70000168,1,2023-03-20,5,0.00125,424.75,Loan Officer,127,Title Issues,2023-03-21,2023-03-26
90073,70000171,1,2023-02-26,15,0.0025,1411.74,Broker,138,Appraisal Delay,2023-03-01,2023-03-16
90074,70000171,2,2023-03-13,15,0.0025,1411.74,Loan Officer,139,Appraisal Delay,2023-03-16,2023-03-31
90075,70000171,3,2023-03-26,15,0.0025,1411.74,Loan Officer,138,Title Issues,2023-03-31,2023-04-15
90076,70000175,1,2023-04-04,15,0.0025,576.38,Processor,139,Appraisal Delay,2023-04-08,2023-04-23
