Loan Number,Application Date,Lock Date,Funding Date,Loan Amount,Property State,Property Type,Occupancy Type,Loan Purpose,Channel,Product Type,Interest Rate,FICO,CLTV,DTI,Lock Term (days),Loan Status,loan_officer_id,Account Executive ID,Underwriter ID,Processor ID,Compensation (BPS),Compensation ($),Branch ID,Pull Through Flag,Extension Count,Is Funded,Loan Age (Days),Days To Fund,App To Lock Days,Lock To Fund Days,FICO Bucket,CLTV Bucket,High DTI Flag,Total Time In Process,Loan Status Simplified,Loan Purpose Simplified
70000001,2023-01-27,2023-01-30,,439737,Tx,Sfr,Primary,Purchase,Wholesale,Conventional,6.209,745,92,34,45,Canceled,123,156.0,127,150,90,3957.63,35,0,0,0,1175,,3,,Excellent (740-799),91-100%,0,3.0,Withdrawn,Purchase
70000002,2023-03-26,2023-03-31,2023-05-15,621903,Ny,Sfr,Investment,Purchase,Retail,Va,5.372,700,83,29,30,Funded,119,,138,152,130,8084.74,35,1,0,1,1117,50.0,5,45.0,Prime+ (700-739),81-90%,0,50.0,Funded,Purchase
70000003,2023-02-23,2023-02-28,,580294,Ny,Condo,Primary,Purchase,Retail,Fha,5.619,697,72,20,60,Denied,103,,137,146,106,6151.12,30,0,0,0,1148,,5,,Prime (660-699),71-80%,0,5.0,Withdrawn,Purchase
70000004,2023-03-31,2023-04-04,2023-05-25,764044,Ca,Sfr,Investment,Purchase,Retail,Jumbo,6.021,744,77,34,30,Funded,119,,130,152,128,9779.76,35,1,2,1,1112,55.0,4,51.0,Excellent (740-799),71-80%,0,55.0,Funded,Purchase
70000005,2023-03-20,2023-03-25,,411397,Va,Sfr,Investment,Purchase,Retail,Va,5.866,765,79,32,30,Withdrawn,120,,129,152,87,3579.15,35,0,0,0,1123,,5,,Excellent (740-799),71-80%,0,5.0,Withdrawn,Purchase
70000006,2023-03-04,2023-03-09,2023-04-17,389766,Ga,Sfr,Primary,Purchase,Retail,Va,5.725,757,82,31,15,Funded,122,,127,151,134,5222.86,18,1,0,1,1139,44.0,5,39.0,Excellent (740-799),81-90%,0,44.0,Funded,Purchase
70000007,2023-02-23,2023-02-26,2023-04-20,475907,Fl,Sfr,Primary,Refi Rt,Retail,Fha,6.145,705,83,27,60,Funded,112,,132,140,83,3950.03,22,1,2,1,1148,56.0,3,53.0,Prime+ (700-739),81-90%,0,56.0,Funded,Refinance
70000008,2023-02-08,2023-02-11,2023-03-27,367275,Tx,2-4 Unit,Primary,Refi Rt,Retail,Fha,5.802,641,69,37,30,Funded,115,,125,146,137,5031.67,18,1,0,1,1163,47.0,3,44.0,Near Prime (620-659),61-70%,0,47.0,Funded,Refinance
70000009,2023-03-28,2023-03-31,2023-04-22,417491,Il,Condo,Investment,Refi Co,Retail,Jumbo,7.184,679,67,41,45,Funded,120,,131,142,82,3423.43,35,1,2,1,1115,25.0,3,22.0,Prime (660-699),61-70%,0,25.0,Funded,Refinance
70000010,2023-01-24,2023-01-24,2023-02-18,242711,Ga,Sfr,Primary,Purchase,Wholesale,Conventional,6.347,704,74,40,60,Funded,115,163.0,125,151,130,3155.24,18,1,0,1,1178,25.0,0,25.0,Prime+ (700-739),71-80%,0,25.0,Funded,Purchase
70000011,2023-02-14,2023-02-15,2023-03-14,450904,Il,Condo,Primary,Refi Rt,Wholesale,Conventional,5.978,739,90,37,15,Funded,115,164.0,135,141,126,5681.39,18,1,2,1,1157,28.0,1,27.0,Prime+ (700-739),81-90%,0,28.0,Funded,Refinance
70000012,2023-03-01,2023-03-06,2023-04-27,310822,Ga,Sfr,Primary,Refi Co,Wholesale,Fha,5.708,766,78,30,30,Funded,100,164.0,139,144,124,3854.19,22,1,0,1,1142,57.0,5,52.0,Excellent (740-799),71-80%,0,57.0,Funded,Refinance
